떡뻐킷ㄷㄱㄷㄱ,n,,,
오 오뱅화,n,,,
오방화오방화,n,,,
오오,su,,,
dh,n,,,
선하~,n,,,
ㅅㄴㅅㄴ,n,,,
서나,n,,,
ㄷㄱㄷㄱ,n,,,
오,su,,,
ㅅㄴㅅㄴ,n,,,
선하선하~,n,,,
떡볶이 조아~~,n,,,
오오,su,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
서나서나,n,,,
히히 ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
ㄷㄱㄷㄱ,n,,,
오방화,n,,,
ㅅㄴㅅㄴ,n,,,
오오오,su,,,
서나,n,,,
ㅅㄴㅅㄴ~,n,,,
맛있겠다,n,,,
와,su,,,
우아아앙,su,,,
오오ㅗ옹,su,,,
ㅅㄴㅅㄴ,n,,,
오오,su,,,
ㅅㄴㅅㄴ~~,n,,,
ㅅㄴ,n,,,
맛있겠다,n,,,
꺆,su,,,
무슨떡버킷,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
오ㅓ,n,,,
ㅅㄴㅅㄴ,n,,,
대박!,su,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ~~,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
오오오,su,,,
오방화~~~,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
!!,n,,,
와아~~~,su,,,
오오,su,,,
ㅅㄴㅅㄴㅅ,n,,,
떠복이 하이,n,,,
ㅅㄴㅅㄴㅅㄴㅇ,n,,,
반가워요,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴㅅㄴㅅㄴ,n,,,
ohhhhhhhhh,su,,,
먹방 좋지,n,,,
ㅅㄴㅅㄴㅅㄴㅅㄴㅅㄴㅅㄴ,n,,,
와 떡뻐킷~~~,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴㅅㄴ~~,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴ,n,,,
낵ㅇ아 바로온다니니ㅣ이리이미,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
HeyGuys HeyGuys,n,,,
ㅅㄴㅅㄴ,n,,,
선하선하~,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
떡볶이!!,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
엽떡이려나,n,,,
서나서나~~~,n,,,
와아,su,,,
서나서나,n,,,
떡볶이 맛있겠구먼,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
떡복이,n,,,
오 떡볶이,n,,,
ㅅㄴㅅㄴ,n,,,
오,su,,,
ㅅㄴㅅㄴ,n,,,
하이하이~~~,n,,,
ㅅㄴㅅㄴ,n,,,
ㅅㄴㅅㄴ,n,,,
헣,n,,,
tsts,n,,,
ㅅㄴㅅㄴ,n,,,
우앙 떡볶이~~,n,,,
ㅅㄴㅅㄴ~!!,n,,,
ㅅㄴㅅㄴㅅㄴㅅㄴ,n,,,
선하~~,n,,,
떡볶이이이,n,,,
ㅅㄴㅅㄴ,n,,,
서나~,n,,,
서나서나,n,,,
서나서나~~,n,,,
이야ㅑㅑㅑ,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
오오 먹방 좋아,su,,,
떡볶이 조아조아,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
와떡볶이,n,,,
오호 떡볶이,n,,,
!업타임,n,,,
ㅅㄴㅅㄴ~~,n,,,
방송시간: 32 seconds,n,,,
떡뻣킷,n,,,
와 떡볶이...,su,,,
오늘의 노래는?,n,,,
떡볶이라니,n,,,
방송 업타임: 0 시간 00 분 32 초,n,,,
엽떡 먹고싶다,n,,,
ㅅㄴㅅㄴ,n,,,
서나서나~~~,n,,,
소크라테스?,n,,,
ㅅㄴㅅㄴ,n,,,
오방화,n,,,
ㅅㄴㅅㄴ,n,,,
떡볶이 조아,n,,,
오늘 곡은?!,n,,,
헐 ㅋ덕볶이,su,,,
서나서나,n,,,
먹방조아,n,,,
오,su,,,
떡볶이 개조아,n,,,
오,su,,,
떡볶이 맛있겠다,n,,,
오옹,su,,,
떡볶이개맛잇겟다...,n,,,
서나서나!!!,n,,,
오오오,su,,,
떡하 ㅅㄴㅅㄴ,n,,,
마싯갯다,n,,,
ㅅㄴㅅㄴ,n,,,
오오,su,,,
오우,su,,,
오,su,,,
오,su,,,
떡 볶 이 조 아,n,,,
하위,n,,,
ㅅㄴㅅㄴㅅㄴㅅㄴ,n,,,
왕,su,,,
오,su,,,
오늘의 오프닝곡은?,n,,,
오,su,,,
요오,su,,,
선하선하!!!,n,,,
떡뻐킷 먹방 가즈아,n,,,
깜짝이야,su,,,
깜짝이야 ㅋㅋㅋㅋ,su,,,
와 떡볶이~!!!!!!,n,,,
선하~~,n,,,
ㅅㄴㅅ,n,,,
오 노래 뭐야,n,,,
휘휘휘~~~~~,n,,,
휘휘,n,,,
오,su,,,
오오,su,,,
오,su,,,
오,su,,,
우와~~~,su,,,
덕복기라니~~~~~,n,,,
혹시 철학 떡뽁긴가,n,,,
놀래라,su,,,
에에ㅔㅔ,su,,,
오늘의 노래는?,n,,,
오 소크라테스?,n,,,
ㅅㄴㅅㄴ,n,,,
와아 떡뻐킷 조아,su,,,
떡볶이~~,n,,,
ㅅㄴㅅㄴ~~,n,,,
깜짝아,su,,,
((,n,,,
!방제,n,,,
쀼쀼쀼~,j,,,
신난다~~~,j,,,
부럽네요 선바님,n,,,
뭐야,n,,,
깜짝아 ㅋㅋㅋㅋ,su,,,
ㅅㄴㅅㄴ,n,,,
오,su,,,
((,n,,,
)),n,,,
오오오,su,,,
)),n,,,
ㅅㄴㅅㄴ,n,,,
떡볶이~~~~,n,,,
ㅅㄴㅅㄴ,n,,,
와~~~~~~~~~,su,,,
현재 방송제목: 떡볶이시킴,n,,,
오오오,su,,,
와아아아아,su,,,
예에에에에,su,,,
서나서나,n,,,
올올,su,,,
휘휘휘~~~,j,,,
(,n,,,
((,n,,,
악 깜짞아,n,,,
)),n,,,
)),n,,,
와!!!!!!!!!!!!!!!!!!,su,,,
ㄷㄱㄷㄱ,n,,,
우아,su,,,
오오오,su,,,
)),n,,,
나두 떡볶이..,n,,,
깜짝이얔ㅋㅋㅋㅋㅋㅋ,su,,,
쿵짝 쿵짝,n,,,
ㅅㄴㅅㄴㅅㄴ,n,,,
((,n,,,
)),n,,,
어우 깜짝아,su,,,
떡뻐킷~~,n,,,
((,n,,,
헐나도떡볶이시킴~~~~ 오예,n,,,
뻐킷,n,,,
((,n,,,
와!!,su,,,
)),n,,,
와 개신나,j,,,
((,n,,,
((,n,,,
((,n,,,
깜짝아 ㅋㅋㅋㅋㅋㅋㅋ,su,,,
)),n,,,
노래 좋다,n,,,
떡뻐킷 ㅋㅌㅌㅌㅌㅋㅋ,n,,,
ㅅㄴㅅㄴ,n,,,
)),n,,,
쀼쀼~,j,,,
))),n,,,
서나,n,,,
노래 놀래라,n,,,
ㅇㄴ,n,,,
떡볶이 부럽,n,,,
sunbaTwerk sunbaTwerk,n,,,
((,n,,,
((,n,,,
)),n,,,
((,n,,,
((,n,,,
ㅅㄴㅅㄴ,n,,,
((,n,,,
삑삑삑,n,,,
와아 신난다~~,j,,,
?,q,,,
ㅅㄴㅅㄴ,n,,,
ㅇㄴ,n,,,
((,n,,,
ㅅㄴㅅㄴ~~~,n,,,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,j,,,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,j,,,
아나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,j,,,
ㅋㅋㅋㅋㅋㅋㅋ,j,,,
